road_type,vehicle_type,year,value,units
Major roads (M and A),All Traffic,2010,28496,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2011,28565,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2012,28853,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2013,29048,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2014,29446,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2015,29872,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2016,30847,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2017,31406,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2018,31542,Vehicle Kilometers (Millions)
Major roads (M and A),All Traffic,2019,32211,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2009,11895,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2010,11595,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2011,11597,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2012,11616,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2013,11632,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2014,12073,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2015,12214,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2016,12264,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2017,12721,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2018,12910,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Cars,2019,12628,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2009,125,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2010,109,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2011,115,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2012,121,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2013,112,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2014,115,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2015,114,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2016,111,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2017,128,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2018,131,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Two Wheeled Motor Vehicles,2019,138,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2009,306,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2010,297,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2011,254,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2012,219,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2013,238,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2014,239,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2015,214,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2016,204,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2017,234,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2018,184,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Buses,2019,256,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2009,2343,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2010,2412,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2011,2316,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2012,2229,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2013,2315,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2014,2477,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2015,2556,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2016,2761,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2017,3055,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2018,2899,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Light Goods Vehicles,2019,2948,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2009,347,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2010,334,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2011,300,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2012,271,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2013,282,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2014,286,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2015,284,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2016,260,Vehicle Kilometers (Millions)
"Minor roads (B, C and unclassified)",Heavy Goods Vehicles,2017,241,Vehicle Kilometers (Millions)
