second_tier_authority,name,code,year,emissions_sector,emissions_sector_subsector,value,units
Scotland,Aberdeen City,S12000033,2008,Industry and Commercial,A Industry And Commercial Electricity,475.03620297293725,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Industry and Commercial,B Industry And Commercial Gas,186.3954512104366,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Industry and Commercial,C Large Industrial Installations,66.95098032688047,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Industry and Commercial,D Industrial And Commercial Other Fuels,136.58412963011955,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Industry and Commercial,E Agriculture,4.767480522388306,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Domestic,F Domestic Electricity,269.3299418849173,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Domestic,G Domestic Gas,298.81399099779094,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Domestic,H Domestic Other Fuels,8.73558497557224,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Transport,I Road Transport A Roads,150.7290054324485,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Transport,K Road Transport Minor Roads,167.47340951113705,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Transport,L Diesel Railways,1.9165104787864555,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Transport,M Transport Other,22.447249181320466,kilotonnes
Scotland,Aberdeen City,S12000033,2008,LULUCF,N Lulucf Net Emissions Forest,-19.188167850937575,kilotonnes
Scotland,Aberdeen City,S12000033,2008,LULUCF,O Lulucf Net Emissions Cropland,36.471616190975745,kilotonnes
Scotland,Aberdeen City,S12000033,2008,LULUCF,P Lulucf Net Emissions Grassland,-18.152629749654686,kilotonnes
Scotland,Aberdeen City,S12000033,2008,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2008,LULUCF,R Lulucf Net Emissions Settlements,7.6830972028059374,kilotonnes
Scotland,Aberdeen City,S12000033,2008,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Industry and Commercial,A Industry And Commercial Electricity,413.2831681329426,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Industry and Commercial,B Industry And Commercial Gas,171.6536016457241,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Industry and Commercial,C Large Industrial Installations,60.59975377840328,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Industry and Commercial,D Industrial And Commercial Other Fuels,126.19765902755496,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Industry and Commercial,E Agriculture,4.82124313876043,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Domestic,F Domestic Electricity,239.8548189814872,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Domestic,G Domestic Gas,271.2267768279581,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Domestic,H Domestic Other Fuels,7.802886239684757,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Transport,I Road Transport A Roads,142.37707892993535,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Transport,K Road Transport Minor Roads,159.10857399129753,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Transport,L Diesel Railways,1.930730271614541,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Transport,M Transport Other,21.07222389894598,kilotonnes
Scotland,Aberdeen City,S12000033,2009,LULUCF,N Lulucf Net Emissions Forest,-19.223863242381878,kilotonnes
Scotland,Aberdeen City,S12000033,2009,LULUCF,O Lulucf Net Emissions Cropland,35.641146951419735,kilotonnes
Scotland,Aberdeen City,S12000033,2009,LULUCF,P Lulucf Net Emissions Grassland,-18.39831209028512,kilotonnes
Scotland,Aberdeen City,S12000033,2009,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2009,LULUCF,R Lulucf Net Emissions Settlements,7.72730809416574,kilotonnes
