second_tier_authority,name,code,year,population_000s_mid_year_estimate,area_km2
Scotland,West Lothian,S12000040,2008,171.38000000000008,431.5908
Scotland,West Lothian,S12000040,2009,173.04,431.5908
Scotland,West Lothian,S12000040,2010,174.09000000000006,431.5908
Scotland,West Lothian,S12000040,2011,175.3000000000001,431.5908
Scotland,West Lothian,S12000040,2012,176.01000000000013,431.5908
Scotland,West Lothian,S12000040,2013,176.15999999999994,431.5908
Scotland,West Lothian,S12000040,2014,177.1999999999999,431.5908
Scotland,West Lothian,S12000040,2015,178.5500000000001,431.5908
Scotland,West Lothian,S12000040,2016,180.13000000000008,431.5908
Scotland,West Lothian,S12000040,2017,181.3100000000001,431.5908
Scotland,West Lothian,S12000040,2018,182.14000000000004,431.5908
