name,code,year,emissions_sector,value,units
Angus,S12000041,2006,Grand,979.0620302997917,kilotonnes
Angus,S12000041,2007,Industry And Commercial,351.6477328531173,kilotonnes
Angus,S12000041,2007,Domestic,332.05773281637977,kilotonnes
Angus,S12000041,2007,Transport,259.0895925097273,kilotonnes
Angus,S12000041,2007,LULUCF,32.94138591022203,kilotonnes
Angus,S12000041,2007,Grand,975.7364440894464,kilotonnes
Angus,S12000041,2008,Industry And Commercial,340.65316760596374,kilotonnes
Angus,S12000041,2008,Domestic,333.6609188419617,kilotonnes
Angus,S12000041,2008,Transport,254.34137105982944,kilotonnes
Angus,S12000041,2008,LULUCF,21.251967284793295,kilotonnes
Angus,S12000041,2008,Grand,949.9074247925482,kilotonnes
Angus,S12000041,2009,Industry And Commercial,309.11289777384644,kilotonnes
Angus,S12000041,2009,Domestic,301.37371777958464,kilotonnes
Angus,S12000041,2009,Transport,246.4942314212995,kilotonnes
Angus,S12000041,2009,LULUCF,15.848739516450841,kilotonnes
Angus,S12000041,2009,Grand,872.8295864911814,kilotonnes
Angus,S12000041,2010,Industry And Commercial,318.36307448507205,kilotonnes
Angus,S12000041,2010,Domestic,322.3486375800324,kilotonnes
Angus,S12000041,2010,Transport,248.95699551064814,kilotonnes
Angus,S12000041,2010,LULUCF,10.605882964766266,kilotonnes
Angus,S12000041,2010,Grand,900.2745905405188,kilotonnes
Angus,S12000041,2011,Industry And Commercial,296.8104109429648,kilotonnes
Angus,S12000041,2011,Domestic,279.66815950393215,kilotonnes
Angus,S12000041,2011,Transport,241.56589778335427,kilotonnes
Angus,S12000041,2011,LULUCF,1.3289287947064992,kilotonnes
Angus,S12000041,2011,Grand,819.3733970249576,kilotonnes
Angus,S12000041,2012,Industry And Commercial,316.12923944253106,kilotonnes
Angus,S12000041,2012,Domestic,299.34264889722533,kilotonnes
Angus,S12000041,2012,Transport,239.90239729963088,kilotonnes
Angus,S12000041,2012,LULUCF,4.172012031395106,kilotonnes
Angus,S12000041,2012,Grand,859.5462976707822,kilotonnes
Angus,S12000041,2013,Industry And Commercial,300.3597506578647,kilotonnes
Angus,S12000041,2013,Domestic,286.7089549844178,kilotonnes
Angus,S12000041,2013,Transport,240.99438399799942,kilotonnes
